geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
59150197,8725,0.26,0.50,0.22,0.27,0.68,0.36,0.35,0.3,0.45,0.20,0.18,0.28,0.02,0.01,0.03,0.72,0.73,1.21,0.28,0.58,0.76,0.07
59150198,12030,0.05,0.49,0.17,0.21,0.63,0.41,0.36,0.29,0.49,0.07,0.05,0.06,0.01,0.01,0.04,0.80,0.59,1.12,0.33,0.54,0.70,0.05
59150200,55,0.31,0.64,0.18,0.18,0.71,0.29,0.43,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.91,NULL,NULL,NULL,0.29,0.43,0.57,0.00
59150201,6630,0.54,0.51,0.29,0.22,0.84,0.40,0.55,0.27,0.33,0.19,0.17,0.13,0.03,0.02,0.06,0.35,0.33,0.93,0.30,0.52,0.66,0.10
59150212,8150,0.22,0.50,0.17,0.21,0.74,0.39,0.36,0.32,0.50,0.47,0.04,0.11,0.01,0.00,0.01,0.90,1.06,1.37,0.13,0.58,0.61,0.07
59150213,7065,1.04,0.49,0.23,0.22,0.65,0.36,0.51,0.31,0.30,0.09,0.21,0.20,0.04,0.02,0.07,0.30,0.20,0.94,0.31,0.42,0.59,0.07
59150215,5885,0.45,0.51,0.24,0.20,0.63,0.37,0.40,0.33,0.30,0.03,0.05,0.73,0.02,0.01,0.02,0.58,0.79,0.93,0.40,0.33,0.64,0.07
59150216,6645,0.51,0.50,0.23,0.21,0.64,0.36,0.42,0.32,0.31,0.05,0.10,0.54,0.01,0.03,0.04,0.62,0.62,0.88,0.34,0.41,0.66,0.08
59150218,5380,0.03,0.50,0.18,0.20,0.75,0.39,0.38,0.31,0.45,0.21,0.03,0.15,0.01,0.01,0.05,0.80,1.11,1.32,0.18,0.52,0.65,0.05
59150226,6510,0.31,0.50,0.18,0.19,0.62,0.41,0.36,0.3,0.43,0.08,0.05,0.33,0.00,0.01,0.03,0.83,0.87,1.21,0.34,0.49,0.66,0.05
59150230,5865,0.22,0.51,0.23,0.21,0.64,0.38,0.37,0.31,0.29,0.03,0.02,0.76,0.01,0.01,0.01,0.65,0.62,0.81,0.34,0.35,0.65,0.08
59150234,5345,0.18,0.48,0.17,0.19,0.78,0.43,0.44,0.29,0.44,0.04,0.02,0.05,0.01,0.01,0.03,0.83,0.57,1.12,0.18,0.54,0.67,0.06
59150240,8105,0.35,0.50,0.21,0.20,0.63,0.39,0.38,0.32,0.35,0.08,0.10,0.54,0.01,0.02,0.02,0.76,0.78,0.94,0.36,0.44,0.67,0.07
59150241,10970,0.17,0.49,0.19,0.19,0.61,0.42,0.41,0.32,0.38,0.17,0.17,0.29,0.02,0.01,0.03,0.75,0.83,1.04,0.32,0.49,0.66,0.08
59150244,5755,0.12,0.50,0.15,0.19,0.77,0.42,0.33,0.3,0.56,0.24,0.02,0.13,0.00,0.01,0.02,0.94,1.04,2.04,0.12,0.62,0.61,0.04
59150252,8585,0.42,0.50,0.21,0.23,0.65,0.37,0.37,0.31,0.41,0.17,0.22,0.24,0.02,0.01,0.02,0.84,0.57,1.24,0.29,0.57,0.70,0.06
